id,slope,elevation,rain_mean_year,soil_type,dist_river,rain_forecast_24h,label
241,17,1004,2430,Type 1,4474,14,0
242,18,735,2305,Type 1,3743,18,0
243,0,810,2046,Type 1,7687,9,0
244,30,1293,2108,Type 1,4806,13,0
245,25,1040,2019,Type 1,6967,11,0
246,13,152,2204,Type 1,1392,16,0
247,19,202,2321,Type 1,15156,17,0
248,18,1220,2059,Type 1,5519,15,0
249,29,293,2064,Type 1,7320,15,0
250,35,441,2284,Type 1,2856,17,0
251,24,531,2102,Type 1,11548,17,0
252,22,166,2102,Type 1,9017,17,0
253,14,1661,2157,Type 1,5036,11,0
254,25,2148,2140,Type 2,1766,12,0
255,10,229,2581,Type 1,7758,18,0
256,26,1307,2255,Type 1,5336,14,0
257,23,881,2009,Type 1,4044,13,0
258,23,1177,2405,Type 1,13291,14,0
259,23,223,2568,Type 1,8629,19,0
260,23,1323,2163,Type 2,4201,14,0
261,48,2099,2648,Type 2,4145,15,0
262,33,1972,1963,Type 2,3419,11,0
263,31,193,2165,Type 1,4990,16,0
264,8,1447,2119,Type 1,6201,13,0
265,23,656,1851,Type 1,11637,11,0
266,9,177,2009,Type 1,5453,18,0
267,39,2362,2743,Type 2,4035,17,0
268,6,1379,2350,Type 2,6788,15,0
269,38,1715,2235,Type 1,3775,12,0
270,16,1390,2046,Type 1,6392,9,0
271,26,1398,2648,Type 2,485,15,0
272,22,1203,2095,Type 1,5187,13,0
273,33,1750,2110,Type 1,3561,12,0
274,10,212,2113,Type 1,1326,16,0
275,13,224,2581,Type 1,9076,18,0
276,12,1291,2516,Type 1,1108,13,0
277,25,1733,2095,Type 1,9936,13,0
278,25,254,1680,Type 1,790,11,0
279,8,470,2185,Type 1,12603,17,0
280,35,1729,2110,Type 1,3504,12,0
281,22,1446,2119,Type 1,10044,13,0
282,35,598,1979,Type 1,4095,11,0
283,28,2425,2516,Type 1,4924,13,0
284,2,71,2204,Type 1,2690,16,0
285,7,413,2574,Type 1,6580,18,0
286,25,597,1892,Type 1,860,11,0
287,24,186,2047,Type 1,9824,17,0
288,27,588,2015,Type 1,2241,14,0
289,7,520,2140,Type 1,5505,13,0
290,19,681,1881,Type 1,4459,12,0
291,17,1608,2573,Type 1,4290,17,0
292,11,1442,2083,Type 1,11481,12,0
293,17,783,1881,Type 1,3980,12,0
294,28,943,2004,Type 2,2077,15,0
295,13,1753,2267,Type 1,6998,14,0
296,8,146,2383,Type 1,4721,19,0
297,17,235,2505,Type 1,19483,18,0
298,22,347,2542,Type 1,10993,17,0
299,22,1202,2087,Type 1,3095,10,0
300,50,1610,2255,Type 1,4993,14,0
301,23,1602,2095,Type 1,9478,13,0
302,30,475,0,Type 1,28100,0,0
303,21,131,2218,Type 1,2022,17,0
304,7,91,2572,Type 1,7261,19,0
305,29,247,2581,Type 1,7776,18,0
306,35,418,2297,Type 1,30298,16,0
307,9,418,2321,Type 1,14931,17,0
308,20,2092,2999,Type 2,3941,16,0
309,8,145,2047,Type 1,9011,17,0
310,12,963,1972,Type 1,4351,13,0
311,21,148,2691,Type 1,12530,19,0
312,39,173,2247,Type 1,4423,13,0
313,17,141,1923,Type 1,6031,13,0
314,45,1733,2324,Type 1,9942,13,0
315,22,482,2048,Type 1,18908,16,0
316,28,587,2297,Type 1,29076,16,0
317,35,1764,2743,Type 2,3896,17,0
318,20,880,1851,Type 1,9356,11,0
319,32,1515,2350,Type 2,8301,15,0
320,2,73,2184,Type 1,2619,16,0
321,15,104,2184,Type 1,3823,16,0
322,26,209,0,Type 1,2385,0,0
323,14,2070,2110,Type 1,6170,12,0
324,23,710,2017,Type 1,2173,13,0
325,26,735,0,Type 1,1352,0,0
326,29,1025,2014,Type 1,4358,11,0
327,20,765,2246,Type 1,20077,15,0
